timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
13 38 44 0.39190021014245113 0.00809978985754889
14 38 44 0.39190021014245113 0.00809978985754889
27 50 63 0.3932455589426795 0.006754441057320537
45 9 59 0.39201086493907666 0.007989135060923358
46 55 98 0.3981035163054837 0.0018964836945163377
55 9 56 0.3986738551427006 0.0013261448572994272
63 17 54 0.39822673407659787 0.0017732659234021564
69 87 94 0.39431089786359885 0.00568910213640117
76 69 84 0.3934919497359098 0.006508050264090237
77 17 68 0.39587838582291224 0.0041216141770877845
80 8 78 0.3954760339879767 0.004523966012023317
85 62 84 0.39980574799997454 1.9425200002548548E-4
107 58 63 0.389092725450983 0.010907274549017021
125 46 52 0.39028085399240464 0.00971914600759538
130 52 86 0.3938217757406086 0.006178224259391407
145 36 40 0.3917298754273232 0.00827012457267684
146 42 67 0.39910857309277975 8.914269072202718E-4
176 9 37 0.39008692900450254 0.009913070995497486
180 55 75 0.3961375620922107 0.00386243790778934
180 80 81 0.3966255401444115 0.0033744598555885408
183 1 60 0.39633383326222305 0.003666166737776977
184 3 77 0.3909117365056485 0.009088263494351545
185 3 77 0.3909117365056485 0.009088263494351545
186 41 73 0.3969935157922319 0.003006484207768112
188 7 48 0.3924766753321591 0.007523324667840947
191 18 89 0.3889769645995951 0.011023035400404946
193 59 90 0.3934599254998793 0.0065400745001207294
211 70 92 0.39531539693484985 0.0046846030651501724
212 48 70 0.39194033990302923 0.008059660096970789
214 47 74 0.3966922169216642 0.0033077830783358464
215 48 74 0.3991869028650631 8.130971349369354E-4
216 47 54 0.39111052486853304 0.008889475131466984
217 5 87 0.39182048504843825 0.008179514951561773
219 65 71 0.39736551959817906 0.00263448040182096
220 5 87 0.3949274822984503 0.005072517701549706
222 63 75 0.39352060853674836 0.00647939146325166
224 26 45 0.3943157186881427 0.005684281311857331
225 21 91 0.3969566142606709 0.0030433857393291075
227 17 48 0.39790864545788235 0.002091354542117674
227 75 94 0.3920187273360556 0.007981272663944439
230 71 74 0.39470229829102016 0.005297701708979863
231 71 74 0.39470229829102016 0.005297701708979863
232 15 27 0.3930692092399111 0.006930790760088901
232 20 34 0.3971427381418219 0.0028572618581781395
232 27 91 0.39912325921531294 8.767407846870801E-4
232 39 64 0.3912463679979485 0.008753632002051537
238 14 56 0.3960734356102633 0.003926564389736709
241 2 27 0.3919973921511026 0.008002607848897447
259 67 79 0.3995907736526196 4.092263473804425E-4
259 78 86 0.39995560950781306 4.4390492186963115E-5
260 28 67 0.3907332864037957 0.009266713596204346
264 24 79 0.3923279150994102 0.007672084900589848
264 45 46 0.39424615627285886 0.005753843727141161
267 49 83 0.3950337347548342 0.004966265245165802
268 19 67 0.39005511194776915 0.009944888052230871
269 79 96 0.3992910784952777 7.089215047223485E-4
277 41 96 0.39922779155733534 7.722084426646791E-4
280 12 71 0.3943837476504493 0.00561625234955071
292 9 55 0.38969033103809064 0.01030966896190938
299 32 82 0.39730344955955355 0.002696550440446477
304 75 76 0.39762246098213794 0.0023775390178620848
305 9 37 0.3934060745351848 0.006593925464815242
314 13 19 0.39885929401801323 0.0011407059819867893
316 57 84 0.39759652533644796 0.002403474663552063
325 43 85 0.3909822437839574 0.009017756216042616
328 59 66 0.39561492452486663 0.004385075475133393
335 82 93 0.3953523024003731 0.00464769759962691
338 5 63 0.3926830715170097 0.007316928482990315
342 21 30 0.3971744906631745 0.0028255093368255157
343 14 90 0.3920367526804831 0.00796324731951692
349 81 99 0.39031926134819156 0.009680738651808463
357 17 20 0.3969072113294419 0.003092788670558122
357 58 75 0.3970337363605086 0.002966263639491429
358 58 75 0.3970337363605086 0.002966263639491429
359 58 75 0.3970337363605086 0.002966263639491429
360 28 44 0.39209865801727495 0.007901341982725074
360 58 75 0.3970337363605086 0.002966263639491429
361 58 75 0.3970337363605086 0.002966263639491429
362 15 30 0.39198817257397606 0.008011827426023965
371 30 46 0.3997212892138792 2.787107861207949E-4
384 34 88 0.39659511238829237 0.003404887611707652
387 34 52 0.3917360178869386 0.008263982113061397
387 34 70 0.3942574655485689 0.005742534451431136
387 54 71 0.39918331430284554 8.166856971544845E-4
393 54 96 0.39387644588773546 0.006123554112264562
395 38 41 0.3971629923609131 0.002837007639086897
399 27 41 0.39980174788812856 1.982521118714664E-4
404 72 96 0.39710147623797687 0.002898523762023153
405 72 96 0.39710147623797687 0.002898523762023153
411 79 81 0.39604280467173486 0.003957195328265162
418 64 72 0.3891152323653306 0.010884767634669446
419 83 99 0.39328608798679454 0.006713912013205481
425 39 64 0.39869143039076 0.001308569609240029
426 57 96 0.39398251961473174 0.006017480385268281
427 12 65 0.3878153409636023 0.012184659036397705
427 19 65 0.3921677327343807 0.007832267265619308
428 12 65 0.3878153409636023 0.012184659036397705
428 19 65 0.3921677327343807 0.007832267265619308
429 8 92 0.39033163654573594 0.009668363454264084
430 57 73 0.38843398923100825 0.011566010768991775
431 57 73 0.38843398923100825 0.011566010768991775
431 84 96 0.3974702220143998 0.0025297779856002234
432 32 42 0.39774841652635534 0.0022515834736446805
433 12 76 0.39781798927905776 0.0021820107209422623
441 1 67 0.39210000000917966 0.007899999990820361
442 1 67 0.39210000000917966 0.007899999990820361
445 48 55 0.3935108624197496 0.006489137580250437
445 55 67 0.3919916920405668 0.008008307959433247
449 54 76 0.3958196130627996 0.004180386937200409
455 3 5 0.392687695189278 0.007312304810722037
456 3 5 0.392687695189278 0.007312304810722037
457 61 77 0.3958716462750589 0.004128353724941136
466 29 84 0.3912489337283644 0.008751066271635632
471 13 50 0.39390627150122526 0.006093728498774764
480 44 53 0.3983656465054433 0.0016343534945567062
485 26 50 0.39089815443664166 0.009101845563358357
487 15 34 0.39932227844840384 6.777215515961776E-4
492 26 96 0.39406705720095175 0.005932942799048269
493 20 43 0.39753190257495435 0.0024680974250456678
493 26 96 0.39406705720095175 0.005932942799048269
493 30 43 0.39813642680757855 0.001863573192421475
494 30 43 0.39813642680757855 0.001863573192421475
500 30 50 0.3915174226037866 0.008482577396213442
501 30 50 0.3915174226037866 0.008482577396213442
502 58 75 0.3931034391474743 0.006896560852525713
503 54 58 0.3916850827650615 0.008314917234938546
507 43 86 0.3960006519368736 0.003999348063126407
508 38 91 0.3959642719251443 0.004035728074855749
509 36 58 0.39557269933723366 0.004427300662766365
509 36 70 0.39110140527802284 0.008898594721977182
510 36 58 0.39557269933723366 0.004427300662766365
512 47 76 0.3990190211327048 9.809788672952013E-4
512 47 100 0.39517585308258824 0.004824146917411787
514 17 28 0.3927458447940794 0.007254155205920598
516 28 83 0.3984270174050974 0.0015729825949026277
522 25 37 0.39975910063697423 2.4089936302579273E-4
533 51 88 0.3969488022530351 0.00305119774696494
534 17 24 0.39814145758581576 0.001858542414184261
538 51 80 0.3899211375893848 0.01007886241061523
546 35 77 0.39982594581827297 1.740541817270569E-4
546 55 76 0.39766366943249587 0.0023363305675041524
558 48 65 0.3963071520259989 0.003692847974001101
558 48 77 0.39090713028123025 0.00909286971876977
562 15 23 0.3989313282761412 0.0010686717238588272
563 15 23 0.3989313282761412 0.0010686717238588272
563 31 38 0.3961030267101451 0.0038969732898549436
564 14 85 0.39696621432346346 0.00303378567653656
565 14 85 0.39696621432346346 0.00303378567653656
