timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
26 17 71 0.3979338507053377 0.0020661492946623117
27 17 71 0.3979338507053377 0.0020661492946623117
31 38 59 0.39173922485895124 0.008260775141048782
53 24 82 0.3941098485368475 0.0058901514631525265
57 11 44 0.3955067519157859 0.004493248084214141
61 4 29 0.39595721999813666 0.004042780001863366
72 79 86 0.39338304191286283 0.0066169580871371925
94 25 59 0.39564897418743367 0.004351025812566356
97 35 38 0.3980082078691341 0.0019917921308659214
105 43 80 0.3936758944807421 0.006324105519257939
125 9 53 0.3951874561835208 0.00481254381647922
126 9 53 0.3951874561835208 0.00481254381647922
126 30 45 0.3961112416642018 0.0038887583357982147
127 45 53 0.3992581598411165 7.418401588835111E-4
128 45 53 0.3992581598411165 7.418401588835111E-4
144 50 70 0.3931144377408984 0.006885562259101641
145 50 70 0.3931144377408984 0.006885562259101641
147 50 83 0.3964990914664982 0.003500908533501823
151 45 59 0.3990075559791736 9.92444020826433E-4
162 2 36 0.3926461150360422 0.007353884963957835
172 27 99 0.39735062238851604 0.002649377611483983
173 36 77 0.39024857872940627 0.009751421270593752
178 8 94 0.3998409274522549 1.5907254774510937E-4
183 51 61 0.39579910767359294 0.00420089232640708
184 13 49 0.3944866099257296 0.00551339007427043
186 41 99 0.39382736083470177 0.006172639165298255
187 41 99 0.39382736083470177 0.006172639165298255
188 84 100 0.39599215342740507 0.004007846572594953
192 33 54 0.3909834729065025 0.00901652709349754
193 33 54 0.3909834729065025 0.00901652709349754
195 61 69 0.39518635542547514 0.004813644574524878
196 66 85 0.3905052772604611 0.009494722739538941
196 79 98 0.3948284416441007 0.0051715583558993306
197 18 54 0.39302825660496205 0.006971743395037977
198 22 33 0.39482941911605596 0.005170580883944065
198 76 87 0.39374592643726286 0.006254073562737161
199 22 33 0.39482941911605596 0.005170580883944065
202 13 85 0.3961936442610772 0.0038063557389227953
207 14 17 0.3966635500615951 0.0033364499384049284
211 55 100 0.3994788257037896 5.211742962104027E-4
212 55 100 0.3994788257037896 5.211742962104027E-4
213 55 100 0.3994788257037896 5.211742962104027E-4
214 55 100 0.3994788257037896 5.211742962104027E-4
215 10 77 0.3958319888526734 0.004168011147326622
215 55 100 0.3994788257037896 5.211742962104027E-4
216 55 100 0.3994788257037896 5.211742962104027E-4
217 85 86 0.3979873234171873 0.0020126765828127335
219 17 84 0.39953163775560485 4.683622443951707E-4
220 17 84 0.39953163775560485 4.683622443951707E-4
222 20 55 0.39293603586677817 0.007063964133221856
230 59 72 0.39810021427903514 0.001899785720964886
230 59 79 0.39840643852651675 0.0015935614734832737
237 62 72 0.39520982755615974 0.004790172443840279
237 62 85 0.39228042054100104 0.007719579458998982
238 10 20 0.39303484961603535 0.006965150383964669
244 10 16 0.39209666357531564 0.007903336424684382
244 22 30 0.3975869081540348 0.0024130918459652206
244 38 72 0.39162803456979245 0.008371965430207573
245 38 48 0.3995425095655296 4.5749043447040894E-4
246 3 89 0.39126631753752555 0.008733682462474468
249 31 95 0.3902012728349121 0.009798727165087895
252 35 40 0.39945437073408624 5.456292659137829E-4
260 30 79 0.39276771268388716 0.007232287316112862
260 31 71 0.3900380931591877 0.009961906840812329
264 80 100 0.39111491209159127 0.00888508790840875
266 16 77 0.391068397468352 0.008931602531648042
269 26 79 0.3926843946927996 0.0073156053072004346
270 26 79 0.3926843946927996 0.0073156053072004346
279 35 70 0.3903382992525371 0.00966170074746292
