timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
41 75 89 0.3969937536379326 0.003006246362067422
42 75 89 0.3969937536379326 0.003006246362067422
47 76 82 0.3975407942692471 0.0024592057307529225
54 39 95 0.3985645643492267 0.001435435650773309
54 49 84 0.39770788059307055 0.0022921194069294715
56 74 75 0.3982774627138762 0.0017225372861238153
64 22 84 0.3928366764396292 0.0071633235603708045
64 52 57 0.3992117952913949 7.882047086051336E-4
65 19 72 0.39026243549081263 0.00973756450918739
65 52 57 0.3992117952913949 7.882047086051336E-4
68 14 60 0.3918709573771501 0.008129042622849914
70 32 93 0.39157016756687224 0.008429832433127782
80 34 85 0.3974034806323675 0.0025965193676324994
88 8 14 0.38947679019162196 0.010523209808378065
95 84 87 0.39334368622836424 0.00665631377163578
117 39 98 0.389607635121506 0.010392364878494043
128 13 78 0.3915597875294751 0.0084402124705249
134 6 19 0.3978640152754718 0.002135984724528195
153 83 92 0.39763734047117116 0.0023626595288288588
157 30 73 0.39000583179139403 0.009994168208605991
159 1 80 0.390329391192689 0.00967060880731102
203 8 87 0.3973934005442345 0.0026065994557655237
206 5 44 0.3914043039855418 0.008595696014458198
207 5 44 0.3914043039855418 0.008595696014458198
207 6 93 0.3916716340234757 0.00832836597652431
235 39 86 0.3924196141358133 0.007580385864186745
240 1 72 0.3983965233415839 0.0016034766584161475
277 15 20 0.3957672417520178 0.004232758247982249
277 21 78 0.39138976725876246 0.008610232741237567
283 22 77 0.3991898640412269 8.101359587731061E-4
285 10 78 0.3941815615364989 0.005818438463501108
286 10 63 0.39257378011557886 0.007426219884421159
290 32 98 0.3999544675503858 4.5532449614249515E-5
303 9 83 0.3947223958294805 0.005277604170519534
306 42 85 0.39235165974279396 0.0076483402572060655
332 64 79 0.39902911009827263 9.708899017273898E-4
344 10 71 0.39542549420871065 0.004574505791289374
345 10 71 0.39542549420871065 0.004574505791289374
365 62 93 0.39072510168838154 0.009274898311618485
386 46 83 0.3919572221328342 0.00804277786716584
398 2 91 0.396764847213342 0.0032351527866580354
399 9 76 0.3986181349427781 0.0013818650572219315
414 4 96 0.3906337394359841 0.009366260564015905
418 2 18 0.3931061383883873 0.006893861611612706
430 42 64 0.399173430089612 8.26569910388042E-4
431 42 64 0.399173430089612 8.26569910388042E-4
440 57 68 0.39134455091639886 0.008655449083601163
441 57 68 0.39134455091639886 0.008655449083601163
444 28 64 0.3937769974120847 0.006223002587915305
479 79 99 0.39963513143270174 3.648685672982821E-4
499 76 82 0.39269952313098233 0.007300476869017691
