timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
20 65 86 0.3939176150671323 0.006082384932867724
32 36 61 0.3940961088762184 0.005903891123781646
33 69 100 0.3959646303311247 0.004035369668875299
39 1 69 0.3964361638687913 0.0035638361312086975
40 1 69 0.3964361638687913 0.0035638361312086975
41 46 88 0.3923956109025622 0.007604389097437825
45 5 50 0.3989586660225878 0.0010413339774122399
48 44 90 0.3933965196471468 0.0066034803528532415
60 29 75 0.39876498288234424 0.001235017117655779
61 7 42 0.39176981618875273 0.008230183811247294
64 10 40 0.3991910829623427 8.089170376573418E-4
67 80 95 0.39163844521196783 0.008361554788032188
68 9 42 0.388383045571747 0.011616954428253001
68 23 62 0.3907622637543754 0.009237736245624628
69 23 62 0.3907622637543754 0.009237736245624628
69 57 83 0.3937214897364976 0.0062785102635024015
78 26 55 0.3897554785584876 0.010244521441512444
98 8 47 0.39925399513244114 7.460048675588804E-4
102 1 24 0.3905094862389315 0.00949051376106852
122 67 81 0.39682474641444615 0.003175253585553872
123 34 74 0.39604229251079237 0.003957707489207651
123 67 81 0.39682474641444615 0.003175253585553872
124 34 74 0.39604229251079237 0.003957707489207651
128 32 72 0.39516096545032314 0.004839034549676879
136 24 79 0.3991213023669949 8.786976330051322E-4
136 34 39 0.3987817264249492 0.0012182735750508322
145 37 90 0.393672469907234 0.006327530092766043
160 19 56 0.39931796954504395 6.82030454956073E-4
161 19 56 0.39931796954504395 6.82030454956073E-4
162 48 76 0.3879437995631894 0.012056200436810605
166 43 60 0.3945042412149499 0.005495758785050098
168 37 74 0.39710076378225084 0.0028992362177491793
176 4 37 0.39680740226275835 0.003192597737241676
181 69 91 0.398821836070652 0.0011781639293479973
190 33 73 0.3994504160145323 5.495839854677276E-4
219 68 75 0.3898821183305369 0.010117881669463147
228 32 58 0.39647185959244585 0.00352814040755417
243 26 31 0.398159532374217 0.0018404676257830488
253 53 79 0.3965174854764632 0.003482514523536817
254 53 79 0.3965174854764632 0.003482514523536817
266 54 88 0.3975381251852406 0.0024618748147594016
267 55 82 0.39465281335048147 0.005347186649518554
281 21 95 0.39758826535059577 0.0024117346494042513
283 22 27 0.3920350381827242 0.007964961817275795
304 90 94 0.3968053774774906 0.003194622522509405
334 1 73 0.3993835166254696 6.164833745304077E-4
334 48 99 0.3935954298196721 0.006404570180327918
368 39 50 0.393490547538277 0.00650945246172302
374 15 31 0.392680235314152 0.007319764685847996
375 15 52 0.3931345623765953 0.0068654376234047465
380 4 76 0.3963421337382285 0.003657866261771503
381 4 76 0.3963421337382285 0.003657866261771503
381 70 88 0.39681409967430836 0.0031859003256916596
382 53 54 0.39826579545303586 0.0017342045469641576
383 53 54 0.39826579545303586 0.0017342045469641576
393 19 30 0.39279533142152256 0.007204668578477458
396 19 78 0.39316070687713583 0.006839293122864187
