timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
19 89 96 0.39733202692648023 0.0026679730735197915
20 58 59 0.39595400538103825 0.004045994618961768
24 65 96 0.3922727855200382 0.00772721447996183
28 27 81 0.39246911955723485 0.007530880442765175
35 29 96 0.39989347889530796 1.0652110469205889E-4
44 7 57 0.39303353271478403 0.006966467285215994
45 78 96 0.39258185646049387 0.00741814353950615
61 29 75 0.3941900135627667 0.00580998643723335
64 69 82 0.3892513752814622 0.010748624718537825
65 81 83 0.39786286506260043 0.0021371349373995874
70 52 72 0.39687955735580116 0.003120442644198862
71 52 72 0.39687955735580116 0.003120442644198862
77 2 39 0.39518550105447603 0.004814498945523993
143 21 47 0.39571777089372584 0.004282229106274182
149 10 58 0.3982406662625663 0.0017593337374336993
152 3 81 0.39429090260858674 0.005709097391413287
155 25 90 0.39912551824383097 8.744817561690543E-4
162 62 82 0.3914225114725623 0.008577488527437727
163 62 82 0.3914225114725623 0.008577488527437727
172 12 42 0.39447012000128556 0.00552987999871446
172 47 79 0.39352058395313727 0.0064794160468627515
173 12 42 0.39447012000128556 0.00552987999871446
179 4 42 0.3937025557216833 0.006297444278316744
210 12 94 0.397417865879017 0.002582134120983015
226 52 67 0.3909859716831422 0.009014028316857825
229 47 71 0.39542753582301055 0.004572464176989477
245 19 23 0.39629812024722266 0.0037018797527773595
256 19 50 0.39098419256777756 0.009015807432222467
262 59 60 0.3969853929059819 0.003014607094018129
265 11 85 0.39390112378375797 0.006098876216242055
266 11 85 0.39390112378375797 0.006098876216242055
292 42 60 0.39967510026153347 3.248997384665553E-4
306 76 95 0.3989948730539429 0.0010051269460571444
310 12 41 0.39363847699012555 0.00636152300987447
326 85 99 0.39422203399505434 0.005777966004945678
332 66 88 0.3964803194119674 0.0035196805880326476
336 42 83 0.39944424939115003 5.557506088499919E-4
341 83 92 0.3950822781146879 0.004917721885312143
364 80 95 0.39376949603425626 0.006230503965743761
365 72 82 0.39475913063595114 0.0052408693640488835
365 80 95 0.39376949603425626 0.006230503965743761
